birth,death,href,name,age,countries,country
-1680.0,-1620.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Ahmes.html,Ahmes,60.0,"['EG', 'GB', 'NL', 'US']",Egypt
-800.0,-740.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Baudhayana.html,Baudhayana,60.0,"['IN', 'NL', 'US']",India
-750.0,-690.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Manava.html,Manava,60.0,"['IN', 'NL', 'US']",India
-624.0,-547.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Thales.html,Thales,77.0,"['US', 'TR', 'GB', 'GR', 'CO', 'EG', 'NL', 'IT']",United States
-611.0,-546.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Anaximander.html,Anaximander,65.0,"['TR', 'GR', 'NL', 'FR', 'US', 'BG']",Turkey
-600.0,-540.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Apastamba.html,Apastamba,60.0,"['IN', 'NL', 'US']",India
-569.0,-475.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Pythagoras.html,Pythagoras,94.0,"['GB', 'US', 'EG', 'GR', 'IT', 'UK', 'DE', 'LB', 'CN', 'SY', 'NL', 'TR', 'IN']",United Kingdom
-520.0,-460.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Panini.html,Panini,60.0,"['IN', 'PK', 'US', 'GR', 'PH', 'NL', 'GB', 'FR']",India
-499.0,-428.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Anaxagoras.html,Anaxagoras,71.0,"['GR', 'CO', 'GB', 'US', 'TR', 'NL', 'RO']",Greece
-492.0,-432.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Empedocles.html,Empedocles,60.0,"['IT', 'GR', 'US', 'CO', 'NL', 'TR']",Italy
-490.0,-420.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Oenopides.html,Oenopides,70.0,"['GR', 'CO', 'US', 'GB', 'FR', 'LY', 'NL']",Greece
-490.0,-425.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Zeno_of_Elea.html,Zeno of Elea,65.0,"['CO', 'GR', 'GB', 'IT', 'US', 'TR', 'RU', 'NL', 'CZ']",Colombia
-480.0,-411.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Antiphon.html,Antiphon,69.0,"['GR', 'GB', 'US', 'NL', 'CZ']",Greece
-480.0,-420.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Leucippus.html,Leucippus,60.0,"['GR', 'US', 'TR', 'NL', 'GB']",Greece
-470.0,-410.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Hippocrates.html,Hippocrates,60.0,"['US', 'GR', 'GB', 'NL', 'UK']",United States
-465.0,-398.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Theodorus.html,Theodorus,67.0,"['CO', 'US', 'GB', 'LY', 'EG', 'NL', 'GR']",Colombia
-460.0,-370.0,http://www-groups.dcs.st-and.ac.uk/Biographies/Democritus.html,Democritus,90.0,"['GR', 'US', 'GB', 'EG', 'CO', 'IT', 'IN', 'ET', 'NL', 'TR']",Greece
